#question,answer1,answer2,answer3,answer4,correctAnswerIndex
What is 1 * 39?,39,-85,-16,109,0
What is 39 * 44?,-3602,-948,1716,3535,2
What is 5 + 3?,-19,8,23,-1,1
What is 12 / 7 rounded up?,5,-1,2,-6,2
What is 50 / 1 rounded up?,135,-104,-5,50,3
What is 15 / 25 rounded up?,0,1,-3,3,1
What is 10 / 38 rounded up?,1,-3,3,0,0
What is 16 - 2?,-9,36,14,-39,2
What is 8 + 23?,90,31,-63,-14,1
What is 48 + 35?,83,215,-209,-1,0
What is 24 - 4?,20,-46,46,0,0
What is 24 - 35?,5,-11,22,-22,1
What is 27 / 43 rounded up?,3,-3,0,1,3
What is 44 * 32?,-3431,1408,-861,4039,1
What is 6 + 32?,90,-28,-100,38,3
What is 27 - 5?,22,54,-63,-19,0
What is 5 - 26?,43,-57,-21,8,2
What is 9 + 40?,-5,143,-143,49,3
What is 1 - 7?,-13,4,15,-6,3
What is 11 - 25?,34,5,-36,-14,3
What is 28 + 14?,103,42,-118,-26,1
What is 29 * 38?,1102,-148,3228,-2939,0
What is 38 - 23?,-31,-6,36,15,3
What is 46 - 2?,123,44,-96,-25,1
What is 6 + 50?,119,56,-47,-164,1
What is 3 / 39 rounded up?,-3,3,0,1,3
What is 42 - 48?,-13,16,2,-6,3
What is 26 - 44?,-18,51,-37,16,0
What is 39 / 45 rounded up?,0,1,-3,3,1
What is 7 + 19?,-54,-19,76,26,3
What is 39 - 37?,-1,2,5,-5,1
What is 40 + 6?,-97,119,-28,46,3
What is 16 * 33?,528,-485,1085,-1166,0
What is 22 * 27?,594,-292,-1414,1302,0
What is 5 / 50 rounded up?,0,3,-3,1,3
What is 30 * 26?,-57,1903,-1982,780,3
What is 28 / 22 rounded up?,-5,-1,5,2,3
What is 16 - 34?,-45,16,51,-18,3
What is 21 - 10?,-7,11,32,-28,1
What is 38 - 24?,31,14,-12,-35,1
What is 25 - 14?,-4,-29,11,27,2
What is 45 / 39 rounded up?,5,-6,0,2,3
What is 27 / 1 rounded up?,-4,-65,70,27,3
What is 19 - 15?,4,-1,9,-9,0
What is 32 - 10?,22,49,-4,-47,0
What is 5 + 39?,44,-107,-21,122,0
What is 35 - 16?,46,-56,-5,19,3
What is 48 + 6?,-26,-131,54,111,2
What is 27 * 42?,1134,3211,-2527,-887,0
What is 40 * 22?,2384,-2509,880,-510,2
What is 15 - 3?,12,-27,25,-7,0
What is 44 / 20 rounded up?,9,-9,3,0,2
What is 45 / 42 rounded up?,5,0,-5,2,3
What is 22 + 25?,47,-123,120,-42,0
What is 38 / 34 rounded up?,-5,0,6,2,3
What is 37 * 25?,-610,2238,-2129,925,3
What is 26 + 27?,53,-118,-27,111,0
What is 26 + 50?,210,-15,-211,76,3
What is 6 + 37?,43,-128,104,-27,0
What is 27 * 25?,-1535,-600,1413,675,3
What is 24 - 29?,10,-5,-14,5,1
What is 21 * 15?,882,-935,-177,315,3
What is 35 - 44?,26,-18,-9,1,2
What is 24 + 49?,-218,-65,73,206,2
What is 18 * 8?,354,144,-88,-407,1
What is 28 * 33?,924,-468,-2219,1973,0
What is 22 * 3?,188,-59,-137,66,3
What is 17 + 32?,49,105,-112,-12,0
What is 6 / 31 rounded up?,3,-3,0,1,3
What is 47 - 16?,65,31,-79,-12,1
What is 18 + 35?,-5,53,116,-157,1
What is 21 * 46?,-2699,2139,-627,966,3
What is 25 * 14?,350,-14,734,-865,0
What is 24 + 1?,-69,25,-4,55,1
What is 4 + 48?,52,-16,-111,112,0
What is 10 * 13?,372,-380,130,-7,2
What is 29 + 9?,104,-81,-1,38,3
What is 29 + 25?,-52,-127,54,157,2
What is 3 + 10?,37,-4,-37,13,3
What is 43 - 37?,18,6,-13,-1,1
What is 48 - 50?,1,-2,5,-5,1
What is 35 * 5?,175,480,-60,-354,0
What is 13 - 21?,21,-20,-8,6,2
What is 14 / 11 rounded up?,-1,-6,2,6,2
What is 47 * 11?,-1130,517,-476,1374,1
What is 5 * 38?,-112,190,457,-394,1
What is 3 * 20?,-32,-121,167,60,3
What is 26 + 50?,-32,76,-196,218,1
What is 47 * 43?,-4795,-100,2021,5423,2
What is 50 + 21?,211,-179,-63,71,3
What is 11 + 1?,12,-34,-8,28,0
What is 40 + 50?,-26,269,90,-211,2
What is 48 - 22?,-64,26,61,-6,1
What is 46 - 37?,-4,25,-27,9,3
What is 11 + 50?,168,-170,-35,61,3
What is 3 * 44?,314,132,-54,-392,1
What is 18 * 49?,-1905,882,-544,1797,1
What is 1 + 28?,-14,29,87,-75,1
What is 41 - 15?,60,26,-2,-70,1
What is 15 + 44?,129,59,-42,-139,1
What is 37 * 29?,1073,-2855,-796,2166,0
What is 26 - 27?,-2,-1,2,1,1
What is 2 - 10?,19,-8,6,-20,1
What is 4 + 50?,54,-40,-133,122,0
What is 13 * 47?,1602,611,-198,-1366,1
What is 49 + 7?,-7,-122,137,56,3
What is 29 / 34 rounded up?,-3,3,0,1,3
What is 21 + 48?,69,-23,-190,166,0
